GPS time,X,Y,Z,Lat,Lon
2223:048623.200,2938716.002,2229641.603,5186002.903,54.75724636,37.18805797
2223:048623.400,2938716.001,2229641.602,5186002.902,54.75724635,37.18805798
2223:048623.600,2938716.002,2229641.603,5186002.902,54.75724636,37.18805798
2223:048623.800,2938716.003,2229641.604,5186002.902,54.75724635,37.18805799
2223:048624.000,2938716.001,2229641.603,5186002.902,54.75724634,37.18805799
2223:048624.200,2938716.003,2229641.604,5186002.902,54.75724636,37.18805799
2223:048624.400,2938716.003,2229641.604,5186002.903,54.75724634,37.18805799
2223:048624.600,2938716.004,2229641.604,5186002.902,54.75724634,37.18805798
2223:048624.800,2938716.003,2229641.604,5186002.901,54.75724634,37.18805798
2223:048625.000,2938716.003,2229641.604,5186002.902,54.75724633,37.18805799
2223:048625.200,2938716.006,2229641.604,5186002.901,54.75724633,37.18805799
2223:048625.400,2938716.006,2229641.602,5186002.902,54.75724631,37.18805796
2223:048625.600,2938716.006,2229641.601,5186002.901,54.75724633,37.18805793
2223:048625.800,2938716.008,2229641.602,5186002.901,54.75724633,37.18805792
2223:048626.000,2938716.009,2229641.602,5186002.902,54.75724631,37.18805792
2223:048626.200,2938716.010,2229641.601,5186002.900,54.75724631,37.18805790
2223:048626.400,2938716.010,2229641.603,5186002.898,54.75724630,37.18805789
2223:048626.600,2938716.009,2229641.603,5186002.895,54.75724628,37.18805791
2223:048626.800,2938716.010,2229641.603,5186002.894,54.75724627,37.18805791
2223:048627.000,2938716.009,2229641.603,5186002.892,54.75724626,37.18805791
2223:048627.200,2938716.009,2229641.604,5186002.896,54.75724626,37.18805791
2223:048627.400,2938716.009,2229641.603,5186002.896,54.75724627,37.18805793
2223:048627.600,2938716.007,2229641.602,5186002.896,54.75724628,37.18805792
2223:048627.800,2938716.008,2229641.604,5186002.896,54.75724629,37.18805793
2223:048628.000,2938716.007,2229641.604,5186002.896,54.75724628,37.18805794
2223:048628.200,2938716.007,2229641.604,5186002.896,54.75724628,37.18805795
2223:048628.400,2938716.007,2229641.603,5186002.895,54.75724629,37.18805794
2223:048628.600,2938716.007,2229641.602,5186002.894,54.75724628,37.18805793
2223:048628.800,2938716.007,2229641.603,5186002.892,54.75724628,37.18805792
2223:048629.000,2938716.006,2229641.601,5186002.892,54.75724627,37.18805794
2223:048629.200,2938716.007,2229641.602,5186002.891,54.75724628,37.18805793
2223:048629.400,2938716.008,2229641.604,5186002.892,54.75724627,37.18805792
2223:048629.600,2938716.007,2229641.603,5186002.894,54.75724626,37.18805794
2223:048629.800,2938716.008,2229641.604,5186002.893,54.75724628,37.18805793
2223:048630.000,2938716.008,2229641.603,5186002.895,54.75724626,37.18805794
2223:048630.200,2938716.008,2229641.602,5186002.893,54.75724628,37.18805793
2223:048630.400,2938716.008,2229641.602,5186002.890,54.75724627,37.18805792
2223:048630.600,2938716.008,2229641.602,5186002.889,54.75724625,37.18805791
2223:048630.800,2938716.006,2229641.600,5186002.889,54.75724625,37.18805791
2223:048631.000,2938716.008,2229641.601,5186002.889,54.75724627,37.18805790
2223:048631.200,2938716.009,2229641.602,5186002.891,54.75724626,37.18805790
2223:048631.400,2938716.011,2229641.603,5186002.893,54.75724625,37.18805790
2223:048631.600,2938716.012,2229641.604,5186002.895,54.75724625,37.18805790
2223:048631.800,2938716.012,2229641.604,5186002.895,54.75724625,37.18805790
2223:048632.000,2938716.011,2229641.604,5186002.895,54.75724625,37.18805790
2223:048632.200,2938716.011,2229641.603,5186002.893,54.75724625,37.18805792
2223:048632.400,2938716.010,2229641.601,5186002.890,54.75724625,37.18805790
2223:048632.600,2938716.009,2229641.600,5186002.889,54.75724625,37.18805789
2223:048632.800,2938716.009,2229641.600,5186002.889,54.75724626,37.18805789
2223:048633.000,2938716.007,2229641.598,5186002.888,54.75724625,37.18805789
2223:048633.200,2938716.006,2229641.596,5186002.884,54.75724627,37.18805787
2223:048633.400,2938716.005,2229641.600,5186002.886,54.75724626,37.18805787
2223:048633.600,2938715.990,2229641.609,5186002.873,54.75724626,37.18805791
2223:048633.800,2938715.978,2229641.606,5186002.878,54.75724624,37.18805817
2223:048634.000,2938715.981,2229641.610,5186002.890,54.75724635,37.18805824
2223:048634.200,2938715.989,2229641.610,5186002.897,54.75724638,37.18805826
2223:048634.400,2938715.994,2229641.612,5186002.905,54.75724637,37.18805820
2223:048634.600,2938716.002,2229641.612,5186002.909,54.75724637,37.18805818
2223:048634.800,2938716.000,2229641.611,5186002.911,54.75724635,37.18805810
2223:048635.000,2938716.000,2229641.606,5186002.909,54.75724637,37.18805810
2223:048635.200,2938715.999,2229641.607,5186002.908,54.75724638,37.18805805
2223:048635.400,2938716.001,2229641.606,5186002.908,54.75724638,37.18805806
2223:048635.600,2938716.001,2229641.601,5186002.910,54.75724637,37.18805803
2223:048635.800,2938716.002,2229641.594,5186002.910,54.75724640,37.18805797
2223:048636.000,2938716.005,2229641.587,5186002.911,54.75724643,37.18805788
2223:048636.200,2938716.006,2229641.581,5186002.908,54.75724644,37.18805776
2223:048636.400,2938716.009,2229641.579,5186002.910,54.75724646,37.18805768
2223:048636.600,2938716.011,2229641.573,5186002.911,54.75724646,37.18805762
